date,amount,currency,merchant,description,id,reportedBalance
18/04/2023,193,USD,Zelle payment from VANESSA RODRIGUEZ DE RODRIGUEZ 17123646152,,xK4EvQ4VLMidebMJdDwYhVBMbRRdn5fmn0owA,-1401.83
18/04/2023,-500,USD,Zelle payment to johnattan 17121165436,,AVOREoODbPUqKBxPqQ1rFdwnoKK1ApIwe1jrk,-1401.83
18/04/2023,-2500,USD,Zelle payment to Awadfinejewelry JPM999vgwaez,,0evk8Bvx30fjQBLKj0NdfJy6A33N4zf9QnJZr,-1401.83
18/04/2023,-12.71,USD,YouTubePremi g.co/helppay# CA 04/18,,4VmZQkmzAaUY5mqJYewatqn4V00DJpUDO5qPn,-1401.83
18/04/2023,-950,USD,Zelle payment to gold drip wells JPM999vgzelk,,kX1jnQ1D9EUpxB4mpywnFywRBrrVDqtbJVEzr,-1401.83
18/04/2023,1000,USD,Zelle payment from Gold Drip BBT172342954,,5zaN8Aa9vmFmNpBnmoJaUV3ZXdd1gafNoPVjA,-1401.83
18/04/2023,660,USD,ORIG CO NAME:ACIMA14827955 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408592395014 EED:230418 IND ID:0D4F3EBAB83B4E8 IND NAME: 8012971982 TRN: 1082395014TC,,JXP4xDPwQ0Uj1Bqzj0nOfrm7LEEeRpf0nZkJQ,-1401.83
18/04/2023,715,USD,ORIG CO NAME:ACIMA14834838 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408592395268 EED:230418 IND ID:7829232C4FF34CA IND NAME: 8012971982 TRN: 1082395268TC,,8V8nNj8OrZUqdKXAq8gBFZPNwMMgRaIY0eZbZ,-1401.83
18/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 18 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015093473810 EED:230418 IND ID: IND NAME:GOLDDRIP TRN: 1083473810TC,,j5DjVQDL7EhkyRrmk38jta6DBOOnZ7HvKP3ge,-1401.83
18/04/2023,-500,USD,ORIG CO NAME:LIQUIDIBEE ORIG ID:1016207445 DESC DATE:041723 CO ENTRY DESCR:DIRECT PAYSEC:CCD TRACE#:114094342442191 EED:230418 IND ID:23041716452206G IND NAME:GOLD DRIP TRN: 1082442191TC,,r1kRVYkZnMiNbdMwNJ0mUkwBd44Ao7fr04bqr,-1401.83
18/04/2023,50,USD,Zelle payment from YADIRA LOPEZ 17121129525,,a59ojg9yaEhr1aB7rDpPfZX7gVVyn6IKEk4J9,-1401.83
18/04/2023,-839.13,USD,"ORIG CO NAME:Onramp Funds, In ORIG ID:945440567 DESC DATE: CO ENTRY DESCR:Onramp FunSEC:CCD TRACE#:273976360361708 EED:230418 IND ID: IMR2POL8G IND NAME:gold drip llc TRN: 1080361708TC",,ykaE9QaADMcwbkM0wNqYFb5OkoowjKFRdjaew,-1401.83
18/04/2023,-1000,USD,ONLINE DOMESTIC WIRE TRANSFER VIA: BK AMER NYC/026009593 A/C: KUNDAN JEWELLERS INC NEW YORK NY 10036 US IMAD: 0418B1QGC08C038954 TRN: 3506013108ES 04/18,,Koq4a1q6njtrm0pRreYOf7Om1ppey5fy8xNa6,-1401.83
18/04/2023,2000,USD,ORIG CO NAME:ACIMA14821624 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408592395208 EED:230418 IND ID:A8162BA52EA949A IND NAME: 8012971982 TRN: 1082395208TC,,bgVjX7VqxQTBbPOnBogKtBRqPmmXj1UP1y9EL,-1401.83
18/04/2023,1655,USD,ORIG CO NAME:ACIMA14823702 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408592395060 EED:230418 IND ID:94AFAC4823994F5 IND NAME: 8012971982 TRN: 1082395060TC,,o63kvQ3oEYtN8LEbN5oJUV1BLZZj3gfr7eOmL,-1401.83
18/04/2023,742.5,USD,ORIG CO NAME:ACIMA14823825 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408592395248 EED:230418 IND ID:460934AC2B77422 IND NAME: 8012971982 TRN: 1082395248TC,,Z58Q7x8bkEh9AYwP9MZbIDXK055EzgC8OBvYj,-1401.83
17/04/2023,-1500,USD,Zelle payment to gold drip wells JPM999vfi6v0,,NoyX9By1datewLKZenpNhJozwgXjprHyn7b5q,-79.15
17/04/2023,1100,USD,ORIG CO NAME:AMERICANFIRSTFIN ORIG ID:1462541785 DESC DATE:230416 CO ENTRY DESCR:PAYMENT SEC:CCD TRACE#:096016936856047 EED:230417 IND ID:14193-71 IND NAME:DULAURY FERREIRA TAVAR CUSTOMER CREDITS TRN: 1076856047TC,,1E0me309yjcX98DmXEAOC3kmVqPL0XSYD7q0P,-79.15
17/04/2023,30,USD,Zelle payment from ELIZABETH DE PENA WFCT0R6D3G7X,,6Vx7mvx90JUMmA3yMO98se7ygkzAEriAKz9qx,-79.15
17/04/2023,-150,USD,"ORIG CO NAME:Onramp Funds, In ORIG ID:945440567 DESC DATE: CO ENTRY DESCR:Onramp FunSEC:CCD TRACE#:273976361426346 EED:230417 IND ID: IAB6EG9VK IND NAME:gold drip llc TRN: 1071426346TC",,X5xo94xbyEhVK4JoV7zNhMdpOJzrBaFzQLPMq,-79.15
17/04/2023,-8.47,USD,APPLE.COM/BILL CA 04/15,,wyrEOQrx6MIQbLMjQXRVTw1kn3d8moTRXzMO1,-79.15
17/04/2023,550,USD,ORIG CO NAME:ACIMA14810285 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408590212200 EED:230417 IND ID:5AFA7577DB274B0 IND NAME: 8012971982 TRN: 1070212200TC,,LoBYaPBLprt4yRp34JN8hEkQM97nyBFJ7OPNp,-79.15
17/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 17 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015095124503 EED:230417 IND ID: IND NAME:GOLDDRIP TRN: 1075124503TC,,mdq8nQqXOEIo4nOxoD9MsLo491jwZMI8Yn4Rp,-79.15
17/04/2023,-4.23,USD,Pixocial CA 04/16,,YQJoRaJbKEIAkdORANQJT5JXKeaP6ACzjXpNo,-79.15
17/04/2023,1375,USD,ORIG CO NAME:ACIMA14803433 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408590212258 EED:230417 IND ID:920A2B6C9D2D40D IND NAME: 8012971982 TRN: 1070212258TC,,Poka9ykM6Jt8LpAZ8qONfnoQDgBNPAUOjN7g6,-79.15
17/04/2023,-58.29,USD,ADOBE *800-833-6687 ADOBE.LY/ENUS CA 04/17,,zAxEpQxZ1MF6QkMR6aV4UwxyraJVpOTMYDBaw,-79.15
17/04/2023,-149,USD,DEBUTIFY MONTREAL QC 04/14,,d5MjVzMq8phVqgKOVxZzhLKnR8Zx0bIop61kq,-79.15
17/04/2023,995,USD,Zelle payment from ISMAEL RYMER VILLA 17110113207,,Dod4N7dK93ty54waygp9cO8AM7DkZRSXdLqMP,-79.15
17/04/2023,-2000,USD,Zelle payment to Awadfinejewelry JPM999vfbaan,,ezEbmQEBZpF1vgkz1dNVh5n3o8N6EdC4ogeMm,-79.15
14/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 14 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015094522550 EED:230414 IND ID: IND NAME:GOLDDRIP TRN: 1044522550TC,,JXP4xDPwQ0Uj1Bqzj0nNC5XBpxa4R0C0yeOM4,-153.92
14/04/2023,-1300,USD,Zelle payment to gold drip wells JPM999vawdk5,,4VmZQkmzAaUY5mqJYew9HXNvpe8QJBID3vYmp,-153.92
14/04/2023,880,USD,ORIG CO NAME:ACIMA14798215 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408597650415 EED:230414 IND ID:FE62907B505549D IND NAME: 8012971982 TRN: 1047650415TC,,8V8nNj8OrZUqdKXAq8g9Ib67avAyRmfYDPLXq,-153.92
14/04/2023,-2000,USD,Zelle payment to Awadfinejewelry JPM999vawdak,,a59ojg9yaEhr1aB7rDpoCYKL6amznxTK6mdnB,-153.92
14/04/2023,1798.3,USD,ORIG CO NAME:MOLLIE LLC ORIG ID:9844260260 DESC DATE: CO ENTRY DESCR:ACH PaymenSEC:CCD TRACE#:021201386512266 EED:230414 IND ID:OW90436 - ALL IND NAME:Gold Drip LLC TRN: 1046512266TC,,Z58Q7x8bkEh9AYwP9MZEU6BNgPx3zMC8mMAKD,-153.92
14/04/2023,-100,USD,Zelle payment to gold drip wells JPM999vaulx6,,xK4EvQ4VLMidebMJdDwQSmwZ5k7en0Imd9Dax,-153.92
13/04/2023,1225,USD,ORIG CO NAME:MOLLIE LLC ORIG ID:9844260260 DESC DATE: CO ENTRY DESCR:ACH PaymenSEC:CCD TRACE#:021201384101015 EED:230413 IND ID:OW90436 - ALL IND NAME:Gold Drip LLC TRN: 1034101015TC,,pLyVjnyORMHLbxMyL4Y3HP6jVD48RxCAZmmbp,-5524.75
13/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 13 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015094026741 EED:230413 IND ID: IND NAME:GOLDDRIP TRN: 1034026741TC,,nwBrVQBZMni07vMY0B1gHoqNOjmEgvSj0VVoO,-5524.75
12/04/2023,1000,USD,Zelle payment from Gold Drip BBT171562664,,RovK9kvMDZt51xpO54X4SgmBjx1bqwUqMJA1m,0.25
12/04/2023,-3000,USD,Zelle payment to Awadfinejewelry JPM999v7vs0x,,9OZ8mrZn45hrx4kqrmLmsyJdVvO6q4ux35pyA,0.25
12/04/2023,-1000,USD,ONLINE DOMESTIC WIRE TRANSFER VIA: BK AMER NYC/026009593 A/C: KUNDAN JEWELLERS INC NEW YORK NY 10036 US IMAD: 0412B1QGC05C008957 TRN: 3470373102ES 04/12,,7VJOb0JZj8UAaoy4AjnjurN8gm3qYRC5o7BYm,0.25
12/04/2023,-50.99,USD,Lyft,,ME3bOq3DX4cad8yManpnc4OLz8PjpetpL4mPY,0.25
12/04/2023,4205,USD,ORIG CO NAME:AMERICANFIRSTFIN ORIG ID:1462541785 DESC DATE:230411 CO ENTRY DESCR:PAYMENT SEC:CCD TRACE#:096016936891009 EED:230412 IND ID:14193-69 IND NAME:DULAURY FERREIRA TAVAR CUSTOMER CREDITS TRN: 1026891009TC,,nwBrVQBZMni07vMY0B1BUwbPd4BeAkFpbOL7w,0.25
12/04/2023,-1713,USD,Zelle payment to gold drip wells JPM999v7vm3s,,V54x9j4bBEh73VaR7xZxcZEJpVk1jnCjbZ7ke,0.25
12/04/2023,-99,USD,Target,,Eow4a9wYVytK3a69K070TjD4XaEZn0tnVj1ER,0.25
12/04/2023,1375,USD,ORIG CO NAME:ACIMA14775628 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408596814209 EED:230412 IND ID:1E7A0BE7E41D4C6 IND NAME: 8012971982 TRN: 1026814209TC,,QoA7mKAML8tZnovwZO8Oc3nqaoJD4gi4p30Jx,0.25
12/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 12 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015099535104 EED:230412 IND ID: IND NAME:GOLDDRIP TRN: 1029535104TC,,OoK4m3KMwxtJ6EkbJrprHL3J9E40gzHg0LJ4y,0.25
11/04/2023,1925,USD,ORIG CO NAME:ACIMA14762390 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408591860127 EED:230411 IND ID:9F6E368D0C3E481 IND NAME: 8012971982 TRN: 1011860127TC,,9OZ8mrZn45hrx4kqrmLBU8O3XgxqJJC60o1z5,-6927.98
11/04/2023,-92,USD,WAWA 287 WESCOSVILLE PA 04/10,,Z58Q7x8bkEh9AYwP9MZXFBvX7pRKAAI8Krm7a,-6927.98
11/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 11 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015092771646 EED:230411 IND ID: IND NAME:GOLDDRIP TRN: 1012771646TC,,8V8nNj8OrZUqdKXAq8gJH6QP13oNDDFYXADrg,-6927.98
11/04/2023,-565.77,USD,"ORIG CO NAME:Onramp Funds, In ORIG ID:945440567 DESC DATE: CO ENTRY DESCR:Onramp FunSEC:CCD TRACE#:273976364092587 EED:230411 IND ID: IO4MOLW7N IND NAME:gold drip llc TRN: 1014092587TC",,4VmZQkmzAaUY5mqJYewdFNjnA9a411HDmZ36X,-6927.98
11/04/2023,-10.59,USD,APPLE.COM/BILL CA 04/11,,5zaN8Aa9vmFmNpBnmoJwC9r3DQyZPPUN0Qvzn,-6927.98
11/04/2023,1728,USD,ORIG CO NAME:AMERICANFIRSTFIN ORIG ID:1462541785 DESC DATE:230410 CO ENTRY DESCR:PAYMENT SEC:CCD TRACE#:096016931741606 EED:230411 IND ID:14195-128 IND NAME:DULAURY FERREIRA TAVAR CUSTOMER CREDITS TRN: 1011741606TC,,7VJOb0JZj8UAaoy4AjnzHB3kwDbYNNI81AerM,-6927.98
11/04/2023,-10.59,USD,APPLE.COM/BILL CA 04/10,,o63kvQ3oEYtN8LEbN5onCx41P9vBooUr9Lw5V,-6927.98
11/04/2023,-380,USD,Zelle payment to gold drip wells JPM999v6mvej,,a59ojg9yaEhr1aB7rDpEUK4XR157MMhKnz6po,-6927.98
11/04/2023,-579.68,USD,ORIG CO NAME:VZ WIRELESS VE ORIG ID:0000751800 DESC DATE:230411 CO ENTRY DESCR:VZW WEBPAYSEC:WEB TRACE#:021000021229498 EED:230411 IND ID:2016387 IND NAME:DULAURY *FERREIRA TRN: 1011229498TC,,JXP4xDPwQ0Uj1Bqzj0neUXkmZDb799H0MxyVR,-6927.98
11/04/2023,-4000,USD,Zelle payment to Awadfinejewelry JPM999v6m675,,xK4EvQ4VLMidebMJdDwziwOBLE1MvvUmaVd3d,-6927.98
11/04/2023,1470,USD,ORIG CO NAME:MOLLIE LLC ORIG ID:9844260260 DESC DATE: CO ENTRY DESCR:ACH PaymenSEC:CCD TRACE#:021201388358359 EED:230411 IND ID:OW90436 - ALL IND NAME:Gold Drip LLC TRN: 1018358359TC,,gMwjVQwdoEiPDkv0P6MzTzJOrwgqQQf6zmJ9R,-6927.98
11/04/2023,225,USD,Zelle payment from YADIRA LOPEZ 17059342753,,bgVjX7VqxQTBbPOnBogXik9RZbdqvvtPjOnv5,-6927.98
10/04/2023,500,USD,Zelle payment from GOTA DE ORO WHOLESALE LLC 17055085589,,d5MjVzMq8phVqgKOVxZbSEo31PdbDDCoM4YpN,0.68
10/04/2023,1832.6,USD,ORIG CO NAME:MOLLIE LLC ORIG ID:9844260260 DESC DATE: CO ENTRY DESCR:ACH PaymenSEC:CCD TRACE#:021201386645657 EED:230410 IND ID:OW90436 - ALL IND NAME:Gold Drip LLC TRN: 1006645657TC,,wyrEOQrx6MIQbLMjQXR1H0KPZyvoNNHRPDQXD,0.68
10/04/2023,-250,USD,Zelle payment to gold drip wells JPM999v61ucb,,V54x9j4bBEh73VaR7xZOIAkmv8rjEEUn9KVDP,0.68
10/04/2023,-100,USD,Zelle payment to gold drip wells JPM999v5hr9l,,Eow4a9wYVytK3a69K07jfpEO6qvnDDIdyNx7w,0.68
10/04/2023,-2492.05,USD,ORIG CO NAME:ROCKET MORTGAGE ORIG ID:9112356513 DESC DATE:040723 CO ENTRY DESCR:MTG PYMTS SEC:WEB TRACE#:021000028586787 EED:230410 IND ID:3395434297 IND NAME:GOLD DRIP LLC ACH DRAFTING TRN: 1008586787TC,,QoA7mKAML8tZnovwZO8zIBJAQVE4nnI9ZP8RE,0.68
10/04/2023,-279.65,USD,ORIG CO NAME:8FIG INC ORIG ID:9352688246 DESC DATE:230410 CO ENTRY DESCR:43447c2SDBSEC:CCD TRACE#:121140391606239 EED:230410 IND ID:125396573087075 IND NAME:GOLD DRIP LLC TRN: 1001606239TC,,OoK4m3KMwxtJ6EkbJrpOsZ4Q7j8g33Hp69y10,0.68
10/04/2023,-500,USD,Zelle payment to gold drip wells JPM999v3i7h1,,pLyVjnyORMHLbxMyL4YXS73dO6kJzzIABmYrA,0.68
10/04/2023,-39.99,USD,ABC*WYOMISSING FITNESS PA 04/07,,zAxEpQxZ1MF6QkMR6aVnCZvN4DbOPPHMV5eYK,0.68
10/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 10 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015098696400 EED:230410 IND ID: IND NAME:GOLDDRIP TRN: 1008696400TC,,NoyX9By1datewLKZenpzUO3meyRr00tyq8jnx,0.68
10/04/2023,-500,USD,Zelle payment to Advance 100k 17051913636,,RovK9kvMDZt51xpO54XRFE1X6VKqmmC9vgwPV,0.68
10/04/2023,-1000,USD,Zelle payment to JoeRodeo 17054655768,,ME3bOq3DX4cad8yManpZInP9wY5pOOF0jwoy7,0.68
10/04/2023,-39.99,USD,ABC*WYOMISSING FITNESS PA 04/07,,YQJoRaJbKEIAkdORANQnH89BoVQAqqCzREvjp,0.68
10/04/2023,3300,USD,ORIG CO NAME:AMERICANFIRSTFIN ORIG ID:1462541785 DESC DATE:230409 CO ENTRY DESCR:PAYMENT SEC:CCD TRACE#:096016938062995 EED:230410 IND ID:14193-68 IND NAME:DULAURY FERREIRA TAVAR CUSTOMER CREDITS TRN: 1008062995TC,,6Vx7mvx90JUMmA3yMO9ZINM40vnr55HAMp8Kk,0.68
10/04/2023,376.25,USD,Zelle payment from YAZMIN MORALES MARTINEZ BACiy1c7mapm,,mdq8nQqXOEIo4nOxoD9BIqBkQryMaac8zZbYQ,0.68
10/04/2023,-96.52,USD,WM SUPERCENTER #2614 TEMPLE PA 013452 04/09,,nwBrVQBZMni07vMY0B19SVBMJqrAbbUjdVz6B,0.68
10/04/2023,-150,USD,FORMPIPER HTTPSFORMPIPE GA 04/08,,X5xo94xbyEhVK4JoV7zYS16mqeQaDDIzeKEQa,0.68
10/04/2023,-4.23,USD,APPLE.COM/BILL CA 04/08,,ezEbmQEBZpF1vgkz1dNmCA0JOvXdxxU4ANBoL,0.68
07/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 7 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015092690337 EED:230407 IND ID: IND NAME:GOLDDRIP TRN: 0972690337TC,,ezEbmQEBZpF1vgkz1d9OSXDZKovzAbFk7mjEP,-316.76
07/04/2023,-338.37,USD,"ORIG CO NAME:Onramp Funds, In ORIG ID:945440567 DESC DATE: CO ENTRY DESCR:Onramp FunSEC:CCD TRACE#:273976366851950 EED:230407 IND ID: IWBW544VM IND NAME:gold drip llc TRN: 0976851950TC",,X5xo94xbyEhVK4JoV7QqtQ9ZxOeo1wI0XA7mY,-316.76
07/04/2023,2090,USD,ORIG CO NAME:ACIMA14733376 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408594501438 EED:230407 IND ID:1CDCB039E7CC4F1 IND NAME: 8012971982 TRN: 0974501438TC,,YQJoRaJbKEIAkdORANVocQ1znKVR8YIwdkrBr,-316.76
07/04/2023,-1750,USD,Zelle payment to gold drip wells JPM999v114wb,,NoyX9By1datewLKZenyxiRqKYwyZO7UxdeKa1,-316.76
06/04/2023,-580,USD,Zelle payment to babenewnumber JPM999uzlcb3,,zAxEpQxZ1MF6QkMR6agoSb8QzrDLZ6CdJ049A,15.82
06/04/2023,1375,USD,ORIG CO NAME:ACIMA14720460 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408591058387 EED:230406 IND ID:B27399C3D0F3458 IND NAME: 8012971982 TRN: 0961058387TC,,ykaE9QaADMcwbkM0wNrmT1Mo7D94Awi3MeLN7,15.82
06/04/2023,-1000,USD,Zelle payment to gold drip wells JPM999uzed1c,,LoBYaPBLprt4yRp34JBOh0Yp1MPmZwCmxbYem,15.82
