ComNum,Nested,Name (click to view profile),Profile ID,Date,Likes,Stars,Comment,(view source)
18,,Hazard Gad,ID: 597034370,12/04/2021 17:35,1,,"המדינה מפקירה את הלומי הקרב ופגועי הנפש, לא חדש. עצוב לי על הבחור הצעיר.",view comment
19,,Sharona Foier,ID: 1048729821,12/04/2021 17:35,9,,"חבל ממש.בזמן שחברי הכנסת מעלים לעצמם משכורות ללא סוף היה אפשר לגמרי לממן לו את הטיפולים שהוא צריך ורבים אחרים בלי שיצטרך להתחנן על כך בוועדות.מביש,מביש",view comment
20,,Roni Hazut,ID: 100001139164644,12/04/2021 17:36,0,,נורא??,view comment
21,,Shirly Itzhak-sasson,ID: 1080294597,12/04/2021 17:36,0,,עצוב ??,view comment
22,,Michal Ronski-Goldstein,ID: 100001465431699,12/04/2021 17:36,0,,מחריד,view comment
23,,פזית שגב,ID: 100013084127760,12/04/2021 17:36,0,,כל כך עצוב??,view comment
24,,Alumit Podoler,ID: 100000960782036,12/04/2021 17:36,2,,כאב ומביש,view comment
25,,קרין גרינברג האוזר,ID: 1043789879,12/04/2021 17:36,20,,זאת הבעיה במדינה הזאת . זורקת את החיילים אחרי שימוש כמו גרביים . להקיא פשוט . במקום לעטוף אותם לתת להם מענה זה מה שקורה . בושה למדינה מתביישת בה,view comment
,25-1,אורטל פור,ID: 100057848095813,12/04/2021 18:01,0,,קרין גרינברג האוזר צודקת בכל מילה,view comment
26,,Osher Cohen,ID: 100008738027132,12/04/2021 17:36,5,,"מדינה פח ...אם היה להם מענה זה לא היה קורה,אבל עדיף לעשוק אזרח מלעזור עצוב !!!!!!!",view comment
,26-1,עופרה עמדי,ID: 100009881168774,12/04/2021 20:10,1,,Osher Cohen Ohana צודקת בהחלט,view comment
27,,רחל כהן,ID: 100011634393495,12/04/2021 17:36,0,,הפקרות אצבע מאשימה למשרד הביטחוןולממשלה.??,view comment
28,,Sagiv Asraf,ID: 100000131110609,12/04/2021 17:36,0,,אין לי מילים,view comment
29,,Racheli Marom Dor,ID: 727737449,12/04/2021 17:37,2,,עצוב שלא מתייחסים .. יותר חשוב לממן את הישיבות ,view comment
30,,Iris Kabesa,ID: 100014290546169,12/04/2021 17:37,0,,רפואה שלימה אמן ואמן ובריאות איתנה בעה תכף ומיד ,view comment
31,,Nir Ben Gershon,ID: 1302042977,12/04/2021 17:37,1,,כואב הלב,view comment
32,,Aluma Abramovitz Skvirsky,ID: 1328086147,12/04/2021 17:37,0,,הלב נשבר!!!??,view comment
33,,יונה בעבור,ID: 1255434123,12/04/2021 17:38,0,,אפשר אפשר להאשים וצריך להאשיםעושים לנפגעים את המוות עד שמאשרים להם אחוזיי נכות או כל דברזה לא מקרה יחידבושה וחרפה אני מתביישת בטיפול של משרד הבטחון חיילים נותנים את חייהם  עצוב ביותר ומקומם!!!!!!!!!!!,view comment
34,,Deganit Hay,ID: 100000030469837,12/04/2021 17:38,4,,"מזעזע,כמה סבל..מדינה אוכלת יושביה",view comment
35,,Eyal Shimoni,ID: 1414027435,12/04/2021 17:38,0,,"פשוט עצוב, אין מלים",view comment
36,,Lior Twito,ID: 1069305022,12/04/2021 17:38,10,,אני נפגשתי איתך בוועדה לפני חודשיים והם גם בי מתעללים זה פשוט בושה שאחרי פציעה עוד אנחנו צריכים להתמודד עם גוף אפאטי שרק מחכה שנפגע בעצמנו ...נקווה שתקום צעקה ואם תוכל להרים הפגנה זיו אתה תעשה מצווה גדולה .,view comment
,36-1,Lior Twito,ID: 1069305022,13/04/2021 14:54,0,,"Lior Twito נראה לי שאיראן תעשה פה סדר לפני
[PHOTO] https://scontent.fdnk2-1.fna.fbcdn.net/v/t1.6435-9/172758724_10219162169579633_6307967780362262517_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dbeb18&_nc_ohc=mnPFeQFdr6EAX8c_Kks&_nc_ht=scontent.fdnk2-1.fna&oh=00_AT8QEvVFg59NPVzBH-npUv7_elSbl-uW13WkG8n4oGaZ8w&oe=63658A24",view comment
37,,Mazal Hen,ID: 100004822056644,12/04/2021 17:38,2,,כמה עצוב  נותנים את הנשמה לצהל וכשחייל נפצע  ומבקש עזרה ככה מתנהגים,view comment
38,,Liat Mezin,ID: 536033845,12/04/2021 17:38,0,,נורא,view comment
39,,Inbal Makuzki Maayan,ID: 772192071,12/04/2021 17:39,5,,זיו אתה מבוזבז לך תילחם במערכת לך תשפיע!!!,view comment
40,,אודליה לב ארי,ID: 100001139700079,12/04/2021 17:39,5,,"שמסיימים שירות ועושים בדיקת ציוד בבקום, רצוי שיעשו מבדקים לחיילים לראות מה הצבא קיבל ואיך הוא החזיר... עצוב ומכעיס!",view comment
41,,Coci Yitzhak,ID: 100009597918345,12/04/2021 17:39,0,,עצוב מאוד,view comment
42,,ענת גרגרוד,ID: 100004275579057,12/04/2021 17:40,6,,"אני מאשימה ועוד איך, וועדות שלא מכבדים החיילים שלנו, הילדים שלנו, למה לענות אותם, תאמינו לגיבורים האלו שהם סובלים , למה וועדות, למה שוב ושוב לנבור בקושי ובכאב, די לענות את ילדינו היקרים, נתנו את חייהם, הגנו עלינו, דיייייי לענות אותם",view comment
43,,Eden Cohen Rozenblum,ID: 1514207404,12/04/2021 17:40,0,,מזעזע!!,view comment
44,,Lior Nachman,ID: 100002765267394,12/04/2021 17:40,0,,מאוד עצוב.. תנחומיי.. מי דואג לצעירים שנשלחים למלחמות..,view comment
45,,Miry Tournovsky,ID: 709938825,12/04/2021 17:40,7,,"נשבר הלב ומתרסק, אין לי מיליםשהשם ישלח לו רפואה שלמה!!!והיחס של המדינה לחייליה היקרים - אין לי מילים, פשוט אין יומיים לפני יום העצמאות - מקרה טראגי שמדבר בעד עצמו.רפואה שלמה!!!",view comment
46,,Guy Sela,ID: 100002955157420,12/04/2021 17:40,0,,"בושה וביזיון, לאן הגענו. אים ערכים אין קדושת חיים אין כלום. מצד אחד פותחים במהדןרה עם הסיפור הנוראי בזה ומנגד כתבה על חרדים שעושים רישיון טיס כדי להיות קרובים לה'. אז אל תשכחו מי מממן לכם את קורס הטייס , ואם בא לכם להיות קרובים לאלוהים תקחו נשק ותצטרפו ללחימה ! מדינת חלם עולם שלישי בושה",view comment
47,,Gali Yehezkel Friedman,ID: 529684323,12/04/2021 17:40,0,,מזעזע,view comment
48,,Adi Elbaz,ID: 738448955,12/04/2021 17:41,0,,"עצוב, הלוואי ומישהו יקבל שכל וילמדו שאי אפשר להשתמש ולזרוק",view comment
49,,Nili Man Yahel,ID: 1470696409,12/04/2021 17:41,1,,"כואב הלב זיו, פשוט כואב הלב.",view comment
50,,Orna Zouari,ID: 100005633251068,12/04/2021 17:41,196,,"2 משרדים מבזים את המדינה משרד הבטחון וביטוח לאומי .פגשתי אדם שעבד במשרד הבטחון ככלכלן ולדבריו תפקידו היה לתת כמה שפחות ולבדוק אם באמת עשו את המכסימום כדי לא לתת .פשוט מילה אחת בפי בזיון של המשרדים הנ""ל .אין חמלה על אנשים פגועי טראומה או חלשים .חייבים לעשות שינוי מהותי ב2 המשרדים לפטר את הראשים ולהציב אנשים רציניים שהמטרה היא באמת לעזור ולשקם את מי שהגן בגופו עלינו .",view comment
,50-1,Ruti Shmuel Trabelsi,ID: 100000621452931,12/04/2021 20:48,1,,Orna Zouari בטח לתת כמה שפחות העיקר שגנץ העלה את הפנסיה התקציבית של הבכירים שם. חרפה!!!,view comment
,50-2,Shai Shabtai,ID: 721718187,13/04/2021 03:47,3,,Orna Zouari נו זה נקרא חלוקה תקציבית. אם היה כסף לא היה צורך בתפקיד הזה.. אבל עדיף לרפד את החרדים ועוד מושחתים,view comment
,50-3,אשר פרידמן,ID: 100000647951727,13/04/2021 10:33,3,,"כבר 14 שנה ברציפות, כל חברי הכנסת ה'צדיקים הגדולים' מ-'הליכוד' מ-'ימינה' מ-'הבית היהודי' מ-'הציונות הדתית' מ-'יהדות התורה' ו-מ-'ש""ס', מצביעים שוב ושוב נגד הצעות חוק להעלאת הקיצבה החודשית של הנכים ושל הקשישים העניים שאין להם שום מקור הכנסה למחייה ולדיור. ביבי הוא הראשון שהעז לגזול מהנכים ומהקשישים העניים את פת הלחם, כשנבחר לראשות הממשלה בשנת 1996 בזמן שהיה גם שר אוצר בטרם מינה מישהו אחר לתפקיד, כשביטל לנכים ולקשישים העניים את ההצמדה בקיצבה החודשית. מאז ועד היום נשאר סכום הקיצבה כמעט ללא שינוי. הקיצבה אמורה להספיק לאדם נכה או קשיש חסר כל, גם לתשלום שכר דירה וגם לתשלום חשמל, מים, ארנונה, תרופות וכו' ואחרי כל זה כבר לא נשארת פרוטה אחת לאוכל וכך נאלצים הנכים והקשישים העניים לחיות בבושה מתרומות של עמותות המנוהלות על ידי עסקנים שדואגים בעיקר לעצמם. איפה היהדות והאלוהים שלהם?! האם הרבנים שלהם באמת לא יודעים מכל זה, או שגם הם תומכים בעושק לחמם של הקשישים והנכים העניים המרודים?!",view comment
,,,,,,,,
,50-4,Linoy Yehudian,ID: 100000902921777,13/04/2021 15:51,0,,"
[PHOTO] https://scontent-ber1-1.xx.fbcdn.net/v/t1.6435-9/172881091_5876366959070010_2130441251000391868_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=dbeb18&_nc_ohc=nkpgs6HgAP0AX-gKGrg&_nc_ht=scontent-ber1-1.xx&oh=00_AT-DXMSOh-IWnBlRhivicIWToguG4pb55p64J86hb3U51w&oe=6362A57B",view comment
,50-2-1,Liya Julius,ID: 1222168191,13/04/2021 17:23,0,,Shai Shabtai את צודקת!חלוקה הזויה! מרפדים אוכלי חינם שלא תורמים כלום ולא מכירים במדינה כדי לקבל את הקולות שלהם בבחירות על חשבון החיילים שהקריבו את נפשם וגופם למען המדינה??,view comment
,50-5,Orit Orit,ID: 100008470303779,15/04/2021 22:21,0,,Orna Zouari https://m.facebook.com/story.php?story_fbid=2582264195399232&id=100008470303779,view comment
51,,חגית איפרגן,ID: 100000382810532,12/04/2021 17:41,0,,כואב הלב לא ייתכן דבר כזה במדינה שלנו שבן אדם יסבול ככה ויגיע למצב כזה למה צריך לתת להם יחס של מלכים,view comment
52,,אורן שפיגל,ID: 100003947687073,12/04/2021 17:42,0,,אוי ואבוי!,view comment
53,,Hila Tehrani,ID: 734600813,12/04/2021 17:42,1,,נשבר לי הלב,view comment
,53-1,שוש גלאון,ID: 100001632363105,12/04/2021 18:07,0,,Hila Tehrani לא נתפס,view comment
54,,שלומית מנו-אלבז,ID: 100001153781658,12/04/2021 17:42,0,,"כואב הלב, מסכנים ההורים",view comment
55,,סיגל שבו,ID: 100012276373485,12/04/2021 17:42,3,,הלב נקרע כמה כואב כמה סבל מרגיז שככה אנשים כאלה נתנו את הנשמה שלהם למען המדינה ולבסוףהמדינה לא מכירה אותך ממש בושהה מדינה של מושחטיםרפואה שלמה,view comment
56,,Keren Blecher,ID: 1352852276,12/04/2021 17:42,0,,עצוב..נשבר הלב.בושה וחרפה.מתביישת במדינה שלנו.בזיון.,view comment
57,,רונית מליק,ID: 100001513521023,12/04/2021 17:43,0,,עצוב מאד,view comment
58,,Miri Galbart,ID: 1763239377,12/04/2021 17:43,1,,Roee Geva ??,view comment
59,,Efrat Levi,ID: 1470025325,12/04/2021 17:43,0,,עצוב,view comment
60,,נעמה חן לביא,ID: 100002205054033,12/04/2021 17:44,0,,אוי אלוהים ??????,view comment
61,,אפרת עמיאל,ID: 100001779253256,12/04/2021 17:44,0,,בעזרת הבורא יתברך שיצא  מזה בשלום ושיהיה לו בריאות איתנה,view comment
62,,רוני חנניה,ID: 1248751212,12/04/2021 17:44,0,,"למה אתה לא מאשים ? מיליארדים לבחירות יש, גם שם וגם בביטוח לאומי אנשים עם לה מאבן , כואב הלב, רפואה שלימה.",view comment
63,,עוזי הרוש,ID: 100050081507653,12/04/2021 17:44,2,,מדינה שלא תומכת בחיילים שזקוקים לתמיכה .זבל של מדינה,view comment
,63-1,Eyal Cohen,ID: 100036101179456,13/04/2021 07:57,0,,עוזי הרוש זה החברים שלךשונאי חיילים השמאל הרסתם את המדינהמציקים להם בשטחיםאתה בחרת בהם.,view comment
,63-1-1,עוזי הרוש,ID: 100050081507653,13/04/2021 08:28,1,,Eyal Cohen לא מגיב,view comment
,63-1-1-1,Eyal Cohen,ID: 100036101179456,13/04/2021 08:29,0,,עוזי הרוש עדיף שלא תגיב באמת,view comment
,63-1-1-1-1,עוזי הרוש,ID: 100050081507653,13/04/2021 08:30,0,,Eyal Cohen לא מגיב,view comment
,63-2,עוזי הרוש,ID: 100050081507653,13/04/2021 08:31,1,,תלית דגל ישראל ודגל של התנועה האיסלמית לכבוד יום העצמאות?,view comment
,63-2-1,Eyal Cohen,ID: 100036101179456,13/04/2021 08:31,0,,עוזי הרוש אצלי יש דגל אחד בלבד????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,view comment
,63-2-1-1,עוזי הרוש,ID: 100050081507653,13/04/2021 08:34,1,,Eyal Cohen ושל החמאס איפה,view comment
,63-2-1-1-1,Eyal Cohen,ID: 100036101179456,13/04/2021 08:48,0,,עוזי הרוש של החמאס תלוי לך על הגדר בבית,view comment
64,,רוית כהן,ID: 100022995699574,12/04/2021 17:45,0,,נשבר הלב,view comment
65,,שלומית יריב,ID: 100011344033884,12/04/2021 17:45,0,,איזה אטימות של גהינום,view comment
66,,Erez Benisty,ID: 834767388,12/04/2021 17:45,0,,עצוב ממש עצוב,view comment
67,,אביגיל מזרחי-כהן,ID: 1730375291,12/04/2021 17:45,3,,"בושה וחרפה למדינת ישראל, שולחים ילדים לקרב שמסכנים את חייהם ובסוף מקבלים סכין בלב, בגלל זה הבנים שלי לא יהיו קרביים, על גופתי!!",view comment
68,,Lea Michal,ID: 100002292347402,12/04/2021 17:45,1,,פשוט לא!הלב מתרסקמה קורה פה?????,view comment
,68-1,Fani Rodshteun,ID: 1015854542,13/04/2021 16:18,1,,Lea Michal קשיחות הלב של כל הוועדות והביוקרטיה פה,view comment
69,,Michal Zamir Nurieli,ID: 838514860,12/04/2021 17:45,3,,"פשוט מחדל!!! היחס לחיילים עם פוסט טראומה מחפיר וחייב להשתנות, מקווה שמישהו יתעורר שם למעלה??",view comment
,69-1,Lital Bakshi,ID: 772279755,12/04/2021 18:03,3,,מיכל זמיר נוריאלי  דם זול .. המערכת רקובה מסורבלת בזבזנית בזויה והזויה ולאף אחד לא אכפת! אנחנו מתמודדים לבד.,view comment
70,,Talli Shiatsu,ID: 739341070,12/04/2021 17:45,7,,"אין דרך ליפות את זה, הצבא פוצע את הנפש ולמדינה אין מענה לזה, לא כי היא לא יכולה, היא פשוט לא רוצה, הכושי עשה את שלו שיסתדר לבד עכשיו, כמו עוד הרבה מחדלים במדינה הזאת, הפקרות!!",view comment
,70-1,Shai Shabtai,ID: 721718187,13/04/2021 06:59,0,,Talli Shiatsu הממשלה שלא נותנת כסף ומנחה את הצבא לפעול ככה,view comment
,70-1-1,Talli Shiatsu,ID: 739341070,13/04/2021 07:11,1,,"ברור שזה מגיע מלמעלה, הם מחליטים על התקציבים",view comment
,70-1-1-1,Shai Shabtai,ID: 721718187,13/04/2021 07:17,0,,Talli Shiatsu כן רק שכולם מחפשים אשמים ואף אחד לא מצביע על הממשלה ,view comment
71,,Yaron Porter,ID: 100003051208269,12/04/2021 17:45,4,,התרסק לי הלב לגורמים!אסור לשתוקאסור לתת לזה לעבורזה אשמה ישירה של אגף שיקוםהם התעמרו באיציק ומיררו לו את החיים!!!מתפלל לשלומו ??????,view comment
,71-1,שי-אל אלון,ID: 1797530677,12/04/2021 21:16,1,,Yaron Porter ממררים לכולנו תחיים אח ,view comment
72,,Keren Hazan,ID: 100003186504197,12/04/2021 17:46,7,,"אגף השיקום של משרד הביטחון נושא בתואר אבל לא בנטלצריך שם בדק בית רציניהוא לא הראשון, עצוב??",view comment
73,,Haya Yerimi,ID: 100006554743774,12/04/2021 17:46,0,,כמה עצוב,view comment
74,,Sivan Ben Shitrit Amar,ID: 1425873748,12/04/2021 17:46,3,,"איזה עצוב, הלב נשבר... נשבר ... המדינה חייבת לחיילים האלו כלכך הרבה!!!",view comment
75,,Haya Ben Saadon,ID: 100001388852091,12/04/2021 17:46,1,,עצוב מאוד הלב בוכה טרגדיה,view comment
76,,Noga Millman,ID: 713740487,12/04/2021 17:46,0,,צריך אנשים כמוך בכנסת. אין מספיק טיפול ותקצוב ראוי לטיפול בנפגעי ונפגעות פוסט טראומה.,view comment
77,,Inbal Karolinski Zohar,ID: 741144044,12/04/2021 17:47,9,,מרתיח את הדם היחס לנכי צהל ובעיקר להלומי הקרב!!! הגיע הזמן מזמן לשינוי עמוק מהיסודאיציק יקר רפואה שלמהרק בשורות טובות,view comment
78,,מורן ביתן,ID: 100002426762060,12/04/2021 17:47,1,,תעודת עניות למדינת ישראל,view comment
79,,קורל קינן,ID: 100029505037922,12/04/2021 17:48,0,,המדינה אשמה,view comment
80,,אליעזר כהן,ID: 100000928323610,12/04/2021 17:48,2,,כואב לראות לוחמים שלחמו שלוש שנים על המדינה שלהם ואז נלחמים בה כל החיים רק כדי שיתנו להם מענה ראוי כמה עצוב,view comment
81,,Eitan Barak Zohar,ID: 793547121,12/04/2021 17:48,0,,עצוב ??,view comment
82,,Levana Amos,ID: 100003517896402,12/04/2021 17:48,0,,בעזרת השם החלמה מהירה אמן עצוב מאוד,view comment
83,,אילנה כץ,ID: 100008434935739,12/04/2021 17:48,0,,איום ונורא,view comment
84,,יעקב ישראלוב,ID: 100000756056829,12/04/2021 17:49,0,,כואב הלבב,view comment
85,,Zivit Levy,ID: 100001584904624,12/04/2021 17:49,113,,"כל כך עצוב שחייל שלנו, שלחם למעננו, נפצע בנפשו ובגופו!!! מגיע למצב שכזה בו הוא מרגיש שאין תקווה, אין מי שרואה ושומע את זעקתו! עצוב עצוב עצוב!!!",view comment
,85-1,אורית מור,ID: 100023373608795,12/04/2021 18:25,1,,"Zivit Levy ממש עצוב??אגף השיקום זה הגוף הכי מסריח במדינה, עושים הכל כדיי להקשות על החיילים הפצועים??",view comment
,85-1-1,Michal Wertheim,ID: 590616317,12/04/2021 23:26,1,,"אורית מור ולא רק לפוסט טראומתיים, אם כי להם בודאי הרבה יותר. עצוב ומקומם.",view comment
,85-1-1-1,אורית מור,ID: 100023373608795,13/04/2021 03:34,0,,נכון עצובבב,view comment
,85-2,אשר פרידמן,ID: 100000647951727,13/04/2021 10:33,1,,"כבר 14 שנה ברציפות, כל חברי הכנסת ה'צדיקים הגדולים' מ-'הליכוד' מ-'ימינה' מ-'הבית היהודי' מ-'הציונות הדתית' מ-'יהדות התורה' ו-מ-'ש""ס', מצביעים שוב ושוב נגד הצעות חוק להעלאת הקיצבה החודשית של הנכים ושל הקשישים העניים שאין להם שום מקור הכנסה למחייה ולדיור. ביבי הוא הראשון שהעז לגזול מהנכים ומהקשישים העניים את פת הלחם, כשנבחר לראשות הממשלה בשנת 1996 בזמן שהיה גם שר אוצר בטרם מינה מישהו אחר לתפקיד, כשביטל לנכים ולקשישים העניים את ההצמדה בקיצבה החודשית. מאז ועד היום נשאר סכום הקיצבה כמעט ללא שינוי. הקיצבה אמורה להספיק לאדם נכה או קשיש חסר כל, גם לתשלום שכר דירה וגם לתשלום חשמל, מים, ארנונה, תרופות וכו' ואחרי כל זה כבר לא נשארת פרוטה אחת לאוכל וכך נאלצים הנכים והקשישים העניים לחיות בבושה מתרומות של עמותות המנוהלות על ידי עסקנים שדואגים בעיקר לעצמם. איפה היהדות והאלוהים שלהם?! האם הרבנים שלהם באמת לא יודעים מכל זה, או שגם הם תומכים בעושק לחמם של הקשישים והנכים העניים המרודים?!",view comment
,,,,,,,,
,85-2-1,Zivit Levy,ID: 100001584904624,13/04/2021 14:30,0,,הנכים והקשישים רעבים לא קשור לכאן! ,view comment
,,,,,,,,
86,,Shai Nogay,ID: 100003196772460,12/04/2021 17:49,0,,Ilay Itzhakovנורא,view comment
87,,אורנית ממן אוחיון,ID: 100001098306785,12/04/2021 17:49,3,,למה אתה לא מאשים אף אחד? הרי ברור לך ולנו שיש את מי להאשים!,view comment
,87-1,Shai Shabtai,ID: 721718187,13/04/2021 03:44,1,,אורנית ממן אוחיון נכון את הממשלה שמעדיפה כסף לחרדים מאשר לחיילים,view comment
88,,Tal Pinker,ID: 100004811148142,12/04/2021 17:50,3,,"זאת בדיוק הסיבה שעדיף לא להתגייס לצהל , ממש לא נעים לי לומר זאת אבל זו האמת",view comment
,88-1,איציק נתן,ID: 1225787466,12/04/2021 18:20,0,,"Tal Pinker בזכות צהל אנחנו קיימים אחרת יכבשו ויחסלו אותנו ציק צק , עם כולם לא התגייסו לצהל ??",view comment
,88-1-1,Tal Pinker,ID: 100004811148142,12/04/2021 19:31,0,,"איציק נתן לא שווה את זה , שהמקורבים לצלחת יתגייסו לח""יר ויסכנו את גופם ונפשם ניראה אותם ",view comment
89,,אלין חן,ID: 1200186142,12/04/2021 17:50,65,,10 שנים! ערמות של וועדות!מיליוני שקלים לעורכי דין וזאת רק בכדי שיכירו באמא שלי כנכה מרותקת לכסא גלגלים!אשה שנתנה את עצמה למדינה ב100 אחוז!כמה דמעות היא הורידה כמה פסיכיאטרים כמה סבל עברנו אנחנו בתור הילדים שלה שראינו כמה היא סובלת!למה זה מגיע להם למה????,view comment
,89-1,אשר פרידמן,ID: 100000647951727,13/04/2021 10:38,2,,"כבר 14 שנה ברציפות, כל חברי הכנסת ה'צדיקים הגדולים' מ-'הליכוד' מ-'ימינה' מ-'הבית היהודי' מ-'הציונות הדתית' מ-'יהדות התורה' ו-מ-'ש""ס', מצביעים שוב ושוב נגד הצעות חוק להעלאת הקיצבה החודשית של הנכים ושל הקשישים העניים שאין להם שום מקור הכנסה למחייה ולדיור. ביבי הוא הראשון שהעז לגזול מהנכים ומהקשישים העניים את פת הלחם, כשנבחר לראשות הממשלה בשנת 1996 בזמן שהיה גם שר אוצר בטרם מינה מישהו אחר לתפקיד, כשביטל לנכים ולקשישים העניים את ההצמדה בקיצבה החודשית. מאז ועד היום נשאר סכום הקיצבה כמעט ללא שינוי. הקיצבה אמורה להספיק לאדם נכה או קשיש חסר כל, גם לתשלום שכר דירה וגם לתשלום חשמל, מים, ארנונה, תרופות וכו' ואחרי כל זה כבר לא נשארת פרוטה אחת לאוכל וכך נאלצים הנכים והקשישים העניים לחיות בבושה מתרומות של עמותות המנוהלות על ידי עסקנים שדואגים בעיקר לעצמם. איפה היהדות והאלוהים שלהם?! האם הרבנים שלהם באמת לא יודעים מכל זה, או שגם הם תומכים בעושק לחמם של הקשישים והנכים העניים המרודים?!",view comment
,89-2,אשר פרידמן,ID: 100000647951727,13/04/2021 10:38,1,,"חברים! לפני שיהיה מאוחר....סמנו לייק בדף הפייסבוק של- ""נִילְחָם חָזָק עַל הַגָּז"" והזמינו כמה שיותר חברים לסמן לייק בדף. זיכרו!!! פיקוח נפש דוחה סמלים.",view comment
90,,Chai Malka,ID: 100000206003086,12/04/2021 17:50,5,,"עצוב מאוד. זאת בדיוק הבעיה צה""ל חכמים בלעודד גיוס לקרבי אבל כשקורה משהו הם מתנערים מאחריות. זה ביזיון אחד גדול וטובי לוחמינו ואחינו משלמים על כך בחייהם.",view comment
91,,קרן זגורי רזון,ID: 1253312151,12/04/2021 17:50,0,,איזה אסון ?? עצוב ככ,view comment
92,,יוסי קוכנר,ID: 1354653270,12/04/2021 17:50,1,,"כואב,הנפש נקרעת.",view comment
93,,אורלי שמעיה,ID: 100001944188244,12/04/2021 17:50,0,,הלב נשרף  מצער רפואה שלמה במהרה אמן,view comment
94,,Nirit Levi,ID: 1539893873,12/04/2021 17:50,0,,מדינה עלובה!!!!,view comment
95,,Brurya Amar,ID: 100000980355739,12/04/2021 17:50,1,,"היי Ziv shilon זיו שילון אני מכירה מישהו שיכול לעזור לו. מתמחה בפוסט טראומתיים של צה""ל.  דבר איתי ",view comment
96,,דרורה ספא,ID: 100010159683402,12/04/2021 17:50,0,,"מזעזע....מחדל...איך ייתכן שלא תהייה לחיילינו כתובת תומכת, מלווה, מכילה ומבריאה!!!!מי אחראי לבושה הזאת?",view comment
97,,בתיה מנחם,ID: 1099445390,12/04/2021 17:50,1,,"אוווףףףף!!!כ""כ מכעיס למה צריך להגיע למעשה כזה כדי שקול שזועק ישמע?!לא מספיק מה שהם עברו ועוברים ויעברו?!?!",view comment
